Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,312.304413,313.579620,295.218445,295.940735,295.940735,30822901
2010-01-08,294.894653,301.101410,285.878448,293.823669,293.823669,55260758
2010-01-15,295.562164,295.671753,285.056549,290.401489,290.401489,38763955
2010-01-22,281.196014,284.234619,264.309296,266.147400,266.147400,45709290
2010-01-29,268.239563,270.037842,261.798706,262.406433,262.406433,33855023
2010-02-05,263.213409,269.988007,260.254517,267.198486,267.198486,27611910
2010-02-12,265.489868,271.487396,264.259491,270.595734,270.595734,20678620
2010-02-19,269.255768,272.727753,259.029083,262.232086,262.232086,26511198
2010-02-26,262.725250,277.026642,260.762604,276.259521,276.259521,29946227
2010-03-05,279.626892,292.010468,277.210938,289.484924,289.484924,38871958
2010-03-12,292.971863,293.041595,276.961884,282.142456,282.142456,31994676
2010-03-19,278.954407,284.932007,268.842316,280.389038,280.389038,49778686
2010-03-26,281.579559,285.654297,278.964386,283.337982,283.337982,25920995
2010-04-02,284.384064,286.366638,278.979309,282.685425,282.685425,17043846
2010-04-09,282.685425,297.803772,280.946930,296.538513,296.538513,37110179
2010-04-16,280.448822,283.342957,270.660492,272.508575,272.508575,49743956
2010-04-23,272.603210,273.634338,259.542175,265.006683,265.006683,33661501
2010-04-30,264.573303,267.836090,229.141129,248.403915,248.403915,40053168
2010-05-07,249.051498,260.433838,239.766296,254.486130,254.486130,39582211
2010-05-14,253.933197,254.540924,236.015350,236.618103,236.618103,36324245
2010-05-21,233.654205,245.235794,231.138641,244.314255,244.314255,46851957
2010-05-28,245.449997,253.051498,239.163559,251.855988,251.855988,23594307
2010-06-04,248.926956,253.674164,235.118713,242.595688,242.595688,31206533
2010-06-11,240.349106,251.990479,239.910751,249.106293,249.106293,24789169
2010-06-18,250.316757,250.794952,235.746368,236.662933,236.662933,24087549
2010-06-25,237.639267,237.933167,216.005356,218.924423,218.924423,29362446
2010-07-02,219.985443,227.811111,216.005356,227.427551,227.427551,20666574
2010-07-09,235.098785,246.426331,230.525925,246.087601,246.087601,39383868
2010-07-16,233.684097,243.577011,227.905746,241.499802,241.499802,43877650
2010-07-23,239.487350,247.821106,238.770035,241.589462,241.589462,23853675
2010-07-30,238.929428,253.350388,238.675385,253.101318,253.101318,24166243
2010-08-06,251.756348,252.055237,240.354095,245.086349,245.086349,23474260
2010-08-13,243.586975,246.426331,232.752579,233.111237,233.111237,23571623
2010-08-20,233.111237,234.914490,224.159790,224.647964,224.647964,28176418
2010-08-27,225.435013,231.601898,222.989182,230.725189,230.725189,20884187
2010-09-03,234.381485,239.303040,230.645477,237.200912,237.200912,18233488
2010-09-10,238.615616,241.469910,236.652969,239.631805,239.631805,21690196
2010-09-17,240.971786,259.019135,239.691574,255.781265,255.781265,38876976
2010-09-24,259.895844,267.422638,258.162354,261.913300,261.913300,31187060
2010-10-01,264.010437,268.991760,258.456238,264.015411,264.015411,25757586
2010-10-08,265.390259,272.722778,262.824860,269.455017,269.455017,37999499
2010-10-15,298.516083,308.687958,294.695404,304.852325,304.852325,66160059
2010-10-22,304.817474,311.203522,303.885956,308.135040,308.135040,24799809
2010-10-29,307.382843,313.783875,304.463806,310.969421,310.969421,28735906
2010-11-05,310.426453,314.247131,305.958191,307.442627,307.442627,21807033
2010-11-12,305.848602,307.298157,289.599518,297.166138,297.166138,30537636
2010-11-19,297.385315,297.828674,288.020416,296.374115,296.374115,18153992
2010-11-26,294.127533,295.382843,275.621887,284.842346,284.842346,35312266
2010-12-03,283.661774,296.677979,282.939484,294.645599,294.645599,22871408
2010-12-10,295.462524,300.374115,292.937012,294.750214,294.750214,19093499
2010-12-17,294.396515,302.366669,292.737732,300.986816,300.986816,18585804
2010-12-24,300.244598,300.807495,297.579590,298.311859,298.311859,8595297
2010-12-31,297.255798,308.060303,294.909607,305.604523,305.604523,20715556
2011-01-07,306.805023,308.678009,303.143738,307.193573,307.193573,16233420
2011-01-14,307.547241,320.279510,307.387848,312.214752,312.214752,29860507
2011-01-21,318.595825,319.666809,299.492432,307.243378,307.243378,42574384
2011-01-28,308.379120,309.021698,296.663025,303.935760,303.935760,26171932
2011-02-04,303.935760,308.658081,302.172394,307.069031,307.069031,18513535
2011-02-11,305.748993,313.868530,305.355438,311.462555,311.462555,20020161
2011-02-18,311.831177,314.411499,299.552216,303.273254,303.273254,25011599
2011-02-25,304.787567,308.453827,296.483704,303.641876,303.641876,23104477
